No., Glass No., Data Source, Year, Data Source Number, SiO2, Al2O3, MgO, CaO, Na2O, SO3, Viscocity at 1000C ( dPa.s )
219, GB02-063472, Handbook of Glass Data, 1983, v. 00A  p. 0283, 64.2, , , , 35.8, , 955.0
220, GB02-063473, Handbook of Glass Data, 1983, v. 00A  p. 0283, 65.6, , , , 34.4, , 758.6
221, GB02-063474, Handbook of Glass Data, 1983, v. 00A  p. 0283, 66.0, , , , 34.0, , 707.9
222, GB02-063475, Handbook of Glass Data, 1983, v. 00A  p. 0283, 66.2, , , , 33.8, , 602.6
223, GB02-063476, Handbook of Glass Data, 1983, v. 00A  p. 0283, 66.3, , , , 33.7, , 457.1
224, GB02-063477, Handbook of Glass Data, 1983, v. 00A  p. 0283, 66.9, , , , 33.1, , 316.2
225, GB02-063478, Handbook of Glass Data, 1983, v. 00A  p. 0283, 65.21, , , , 34.79, , 436.5
226, GB02-063479, Handbook of Glass Data, 1983, v. 00A  p. 0283, 67.4, , , , 32.6, , 467.7
227, GB02-063480, Handbook of Glass Data, 1983, v. 00A  p. 0283, 68.3, , , , 31.7, , 831.8
228, GB02-063481, Handbook of Glass Data, 1983, v. 00A  p. 0283, 68.4, , , , 31.6, , 955.0
229, GB02-063482, Handbook of Glass Data, 1983, v. 00A  p. 0283, 56.0, , , , 44.0, , 173.8
230, GB02-063483, Handbook of Glass Data, 1983, v. 00A  p. 0282, 69.2, , , , 30.8, , 955.0
231, GB02-063484, Handbook of Glass Data, 1983, v. 00A  p. 0282, 70.7, , , , 29.3, , 1380.0
232, GB02-063485, Handbook of Glass Data, 1983, v. 00A  p. 0282, 72.3, , , , 27.7, , 1445.0
233, GB02-063486, Handbook of Glass Data, 1983, v. 00A  p. 0282, 72.5, , , , 27.5, , 1778.0
234, GB02-063487, Handbook of Glass Data, 1983, v. 00A  p. 0282, 73.7, , , , 26.3, , 1698.0
235, GB02-063488, Handbook of Glass Data, 1983, v. 00A  p. 0282, 75.0, , , , 25.0, , 1778.0
236, GB02-063489, Handbook of Glass Data, 1983, v. 00A  p. 0282, 76.2, , , , 23.8, , 1905.0
237, GB02-063490, Handbook of Glass Data, 1983, v. 00A  p. 0282, 76.6, , , , 23.4, , 2089.0
238, GB02-063491, Handbook of Glass Data, 1983, v. 00A  p. 0282, 77.4, , , , 22.6, , 3311.0
239, GB02-063492, Handbook of Glass Data, 1983, v. 00A  p. 0282, 77.6, , , , 22.4, , 2630.0
240, GB02-063493, Handbook of Glass Data, 1983, v. 00A  p. 0282, 77.8, , , , 22.2, , 3548.0
241, GB02-063494, Handbook of Glass Data, 1983, v. 00A  p. 0282, 78.3, , , , 21.7, , 4571.0
242, GB02-063495, Handbook of Glass Data, 1983, v. 00A  p. 0282, 69.0, , , , 31.0, , 1072.0
243, GB02-071229, Handbook of Glass Data, 1983, v. 00A  p. 0288, 59.3, , , , 40.7, , 363.1
244, GB02-071230, Handbook of Glass Data, 1983, v. 00A  p. 0288, 63.8, , , , 36.2, , 871.0
245, GB02-071231, Handbook of Glass Data, 1983, v. 00A  p. 0288, 66.4, , , , 33.6, , 1288.0
246, GB02-071232, Handbook of Glass Data, 1983, v. 00A  p. 0288, 69.0, , , , 31.0, , 1905.0
247, GB02-071233, Handbook of Glass Data, 1983, v. 00A  p. 0288, 74.9, , , , 25.1, , 4365.0
248, GB02-071234, Handbook of Glass Data, 1983, v. 00A  p. 0288, 80.2, , , , 19.8, , 10000.0
249, GJ35-072893, Physics and Chemistry of  Glasses, 1960, v. 001  p. 0019, , , , , 0.04, , 1500000.0
250, GJ35-072894, Physics and Chemistry of  Glasses, 1960, v. 001  p. 0019, , , , , 0.16, , 140000.0
251, GJ35-072895, Physics and Chemistry of  Glasses, 1960, v. 001  p. 0019, , , , , 1.18, , 3900.0
252, GJ35-072896, Physics and Chemistry of  Glasses, 1960, v. 001  p. 0019, , , , , 7.48, , 59.0
253, GJ35-072897, Physics and Chemistry of  Glasses, 1960, v. 001  p. 0019, , , , , 10.85, , 22.0
254, GJ35-072898, Physics and Chemistry of  Glasses, 1960, v. 001  p. 0019, , , , , 16.41, , 8.9
255, MP06-073915, European Patent    Corning Inc. (US), 1986, A0205262, 53.28, 17.29, 9.5, , 12.72, , 130000.0
256, GP05-083370, US Patent, 1986, A4591455, 83.27, 1.21, , , 3.98, , 700000.0
257, GP05-086456, US Patent, 1982, A4312952, 61.98, 0.88, 5.16, 9.65, 15.26, , 1000.0
258, GP05-086457, US Patent, 1982, A4312952, 59.53, 0.89, 5.24, 9.8, 15.5, , 1000.0
259, GB02-088679, Technical Glasses, 1961, v. 001  p. 0105, 77.83, 3.11, , 2.11, 9.53, , 50120.0
260, GB05-088748, Technical Glasses, 1961, v. 001  p. 0123, 79.5, 3.72, , 1.26, 6.64, , 251200.0
261, GB05-089082, Technical Glasses, 1961, v. 001  p. 0344, 78.19, 3.07, , 1.67, 7.07, , 63100.0
262, GB05-089130, Technical Glasses, 1961, v. 001  p. 0354, 76.1, 1.53, , 1.16, 1.79, , 100000.0
263, GB05-089167, Technical Glasses, 1961, v. 001  p. 0388, 74.07, 0.55, , 0.33, 1.51, , 158500.0
264, GJ02-091323, Glass Physics & Chemistry, 1987, v. 013  p. 0326, 73.03, , , 13.75, 13.21, , 10710.0
265, GB02-095853, Properties of Glass, 1954, v. 001  p. 0159, 45.37, , , , 54.63, , 6.3
266, GB02-095854, Properties of Glass, 1954, v. 001  p. 0159, 48.77, , , , 51.22, , 15.1
267, GB02-095857, Properties of Glass, 1954, v. 001  p. 0159, 51.77, , , , 48.22, , 43.0
268, GB02-095858, Properties of Glass, 1954, v. 001  p. 0159, 55.17, , , , 44.83, , 190.0
269, GB02-095859, Properties of Glass, 1954, v. 001  p. 0159, 61.34, , , , 38.66, , 570.0
270, GB02-095860, Properties of Glass, 1954, v. 001  p. 0159, 65.7, , , , 34.29, , 1420.0
271, GB02-095861, Properties of Glass, 1954, v. 001  p. 0159, 66.5, , , , 33.5, , 1490.0
272, GB02-095862, Properties of Glass, 1954, v. 001  p. 0159, 70.55, , , , 29.45, , 2500.0
273, GB02-095863, Properties of Glass, 1954, v. 001  p. 0159, 75.58, , , , 24.42, , 4600.0
274, GB02-095877, Properties of Glass, 1954, v. 001  p. 0160, 67.09, , , , 32.91, , 1202.0
275, GB02-095878, Properties of Glass, 1954, v. 001  p. 0160, 69.86, , , , 30.14, , 1738.0
276, GB02-095879, Properties of Glass, 1954, v. 001  p. 0160, 80.49, , , , 19.5, , 11220.0
277, GP05-100624, Japanese Patent, 1989, A028246, 30.44, 5.42, 10.49, , 15.86, , 0.03
278, GP05-100625, Japanese Patent, 1989, A028246, 29.95, 3.3, 12.84, , 16.71, , 0.03
279, GP05-100626, Japanese Patent, 1989, A028246, 32.32, 2.85, 9.63, , 15.77, , 0.02
280, GP05-100677, Japanese Patent, 1989, A028382, 32.32, 2.85, 9.63, , 15.77, , 0.02
281, GP05-100678, Japanese Patent, 1989, A028382, 30.44, 5.42, 10.49, , 15.86, , 0.03
282, GP05-100679, Japanese Patent, 1989, A028383, 30.44, 5.42, 10.49, , 15.86, , 0.03
283, GP05-100680, Japanese Patent, 1989, A028383, 29.95, 3.3, 12.84, , 16.71, , 0.03
284, GP05-101670, Japanese Patent    Corning Inc. (US), 1989, A157430, 41.89, , , 11.88, 1.91, , 32.0
285, GP06-101742, Japanese Patent    Corning Inc. (US), 1989, A160844, 65.05, 10.43, 2.43, 4.91, , , 2200000.0
286, GP05-101745, Japanese Patent    Corning Inc. (US), 1989, A160844, 65.05, 9.2, 2.44, , , , 2200000.0
287, GP06-104342, Japanese Patent, 1990, A258650, 58.6, 12.42, 18.39, 6.05, 0.99, , 1000000.0
288, GP02-104343, Japanese Patent, 1990, A258650, 71.48, 0.69, 4.87, 9.33, 13.62, , 10000.0
289, GP05-105031, US Patent    Corning Inc. (US), 1989, A4824808, 65.03, 10.43, 2.45, 4.91, , , 2200000.0
290, GP05-105034, US Patent    Corning Inc. (US), 1989, A4824808, 65.03, 9.2, 2.45, , , , 2200000.0
291, GP05-105136, US Patent    Corning Inc. (US), 1989, A4839314, 41.89, , , 11.88, 1.91, , 32.0
292, GP05-107303, European Patent    Corning Inc. (US), 1989, A0316089, 53.0, 15.0, 2.0, , , , 2200000.0
293, GP05-107306, European Patent    Corning Inc. (US), 1989, A0316089, 53.0, 17.0, 2.0, 4.0, , , 2200000.0
294, GJ06-112856, J. Ceramic Soc. Japan, 1990, v. 098  p. 1070, 69.17, 8.73, 22.09, , , , 1.0E9
295, GI02-114221, Fall Meeting Ceram. Soc. Japan (J), 1989, v. 002  p. 0356, 66.67, , , , 20.0, , 316.228
296, GI02-114222, Fall Meeting Ceram. Soc. Japan (J), 1989, v. 002  p. 0356, 66.67, , , , 18.0, , 354.813
297, GI02-114223, Fall Meeting Ceram. Soc. Japan (J), 1989, v. 002  p. 0356, 66.67, , , , 16.0, , 398.107
298, GI02-114224, Fall Meeting Ceram. Soc. Japan (J), 1989, v. 002  p. 0356, 66.67, , , , 14.0, , 398.107
299, GI02-114225, Fall Meeting Ceram. Soc. Japan (J), 1989, v. 002  p. 0356, 66.67, , , , 12.0, , 501.187
300, GI02-114226, Fall Meeting Ceram. Soc. Japan (J), 1989, v. 002  p. 0356, 66.67, , , , 10.0, , 562.341
301, GI02-114227, Fall Meeting Ceram. Soc. Japan (J), 1989, v. 002  p. 0356, 66.67, , , , 8.0, , 630.957
302, GP04-120212, US Patent    Corning Inc. (US), 1991, A5034354, 61.86, , 3.94, , , , 3000.0
303, GP04-120213, US Patent    Corning Inc. (US), 1991, A5034354, 57.85, , , 10.06, , , 10000.0
304, GP02-121103, European Patent    Saint-Gobain (FR), 1991, A0412878, *, *, *, *, *, , 1000.0
305, GP05-124716, US Patent    Corning Inc. (US), 1992, A5116787, 64.83, 9.89, , 13.77, , , 1300000.0
306, GP05-124722, US Patent    Corning Inc. (US), 1992, A5116787, 65.92, 9.88, , 13.76, , , 260000.0
307, GP03-124723, US Patent    Corning Inc. (US), 1992, A5116787, 64.83, 9.89, , 13.77, , , 1300000.0
308, GP03-124733, US Patent    Corning Inc. (US), 1992, A5116787, 65.91, 9.88, , 13.76, , , 260000.0
309, GP06-124734, US Patent    Corning Inc. (US), 1992, A5116789, 63.59, 7.49, , , , , 1800000.0
310, GP03-127283, Japanese Patent    Corning Inc. (US), 1993, A193980, 64.83, 9.89, , 13.77, , , 1300000.0
311, GP03-127289, Japanese Patent    Corning Inc. (US), 1993, A193980, 65.92, 9.88, , 13.76, , , 260000.0
312, GP03-127480, Japanese Patent    Corning Inc. (US), 1993, A213627, 63.36, 8.02, , , , , 1800000.0
313, GP03-127483, Japanese Patent    Corning Inc. (US), 1993, A213627, 64.98, 9.91, , 13.8, , , 130000.0
314, GP03-127554, Japanese Patent    Corning Inc. (US), 1993, A232458, 63.59, 7.49, , , , , 1800000.0
315, GP05-127918, Japanese Patent    NGK Insulators (J), 1993, A279075, 80.0, 3.0, 4.0, , , , 1000000.0
316, GP05-127919, Japanese Patent    NGK Insulators (J), 1993, A279075, 60.0, 2.0, , , , , 30000.0
317, GP05-127920, Japanese Patent    NGK Insulators (J), 1993, A279075, 56.07, 4.67, 9.35, , , , 90000.0
318, GP05-127921, Japanese Patent    NGK Insulators (J), 1993, A279075, 48.78, 0.49, 1.95, , , , 50000.0
319, GP03-129284, European Patent    Corning Inc. (US), 1993, A0527320, 63.59, 7.49, , , , , 1800000.0
320, GP03-129330, European Patent    Corning Inc. (US), 1993, A0528114, 65.91, 9.88, , 13.76, , , 260000.0
321, GP03-129337, European Patent    Corning Inc. (US), 1993, A0528149, 63.36, 8.02, , , , , 1800000.0
322, GP03-129340, European Patent    Corning Inc. (US), 1993, A0528149, 64.98, 9.91, , 13.8, , , 130000.0
323, GB10-130640, Handbook of Glass Data, 1991, v. 00D  p. 0052, , , , 3.6, , , 14.45
324, GB10-130641, Handbook of Glass Data, 1991, v. 00D  p. 0052, , , , 4.2, , , 10.23
325, GB10-130642, Handbook of Glass Data, 1991, v. 00D  p. 0052, , , , 9.3, , , 10.47
326, GB10-130644, Handbook of Glass Data, 1991, v. 00D  p. 0052, , , , 12.0, , , 10.96
327, GB10-130645, Handbook of Glass Data, 1991, v. 00D  p. 0052, , , , 15.2, , , 12.59
328, GB10-130646, Handbook of Glass Data, 1991, v. 00D  p. 0052, , , , 15.3, , , 11.22
329, GB10-130647, Handbook of Glass Data, 1991, v. 00D  p. 0052, , , , 18.8, , , 12.3
330, GB10-130648, Handbook of Glass Data, 1991, v. 00D  p. 0052, , , , 21.3, , , 15.14
331, GB10-130649, Handbook of Glass Data, 1991, v. 00D  p. 0052, , , , 24.8, , , 13.18
332, GB10-130650, Handbook of Glass Data, 1991, v. 00D  p. 0052, , , , 27.4, , , 13.49
333, GB10-131709, Handbook of Glass Data, 1991, v. 00D  p. 0116, , , , , 34.38, , 1.76
334, GB10-131710, Handbook of Glass Data, 1991, v. 00D  p. 0116, , , , , 31.69, , 2.43
335, GB10-131712, Handbook of Glass Data, 1991, v. 00D  p. 0117, , , , , 49.9, , 0.209
336, GB10-131713, Handbook of Glass Data, 1991, v. 00D  p. 0117, , , , , 48.66, , 0.267
337, GB10-131714, Handbook of Glass Data, 1991, v. 00D  p. 0117, , , , , 47.48, , 0.314
338, GB10-131983, Handbook of Glass Data, 1991, v. 00D  p. 0135, , , , , 2.5, , 27.0
339, GB02-138850, Handbook of Glass Data, 1993, v. 00E  p. 0444, 74.81, , , 10.69, 14.5, , 3388.4
340, GB02-138866, Handbook of Glass Data, 1993, v. 00E  p. 0448, 73.03, , , 13.75, 13.21, , 6607.0
341, GB20-139677, Handbook of Glass Data, 1993, v. 00E  p. 0553, , , , 50.0, , , 169.8
342, GB03-139678, Handbook of Glass Data, 1993, v. 00E  p. 0553, 5.0, , , 47.5, , , 112.2
343, GB03-139679, Handbook of Glass Data, 1993, v. 00E  p. 0553, 10.0, , , 45.0, , , 95.5
344, GB03-139680, Handbook of Glass Data, 1993, v. 00E  p. 0553, 15.0, , , 42.5, , , 81.28
345, GB03-139681, Handbook of Glass Data, 1993, v. 00E  p. 0553, 20.0, , , 40.0, , , 107.2
346, GB03-139682, Handbook of Glass Data, 1993, v. 00E  p. 0553, 25.0, , , 37.5, , , 204.2
347, GB03-139683, Handbook of Glass Data, 1993, v. 00E  p. 0553, 30.0, , , 35.0, , , 467.7
348, GB20-139684, Handbook of Glass Data, 1993, v. 00E  p. 0553, , , , 54.5, , , 67.61
349, GB03-139685, Handbook of Glass Data, 1993, v. 00E  p. 0553, 5.0, , , 51.8, , , 58.88
350, GB03-139686, Handbook of Glass Data, 1993, v. 00E  p. 0553, 10.0, , , 49.1, , , 54.95
351, GB03-139687, Handbook of Glass Data, 1993, v. 00E  p. 0553, 15.0, , , 46.4, , , 51.29
352, GB03-139688, Handbook of Glass Data, 1993, v. 00E  p. 0553, 20.0, , , 43.6, , , 63.1
353, GB03-139689, Handbook of Glass Data, 1993, v. 00E  p. 0553, 25.0, , , 40.9, , , 87.1
354, GB03-139690, Handbook of Glass Data, 1993, v. 00E  p. 0553, 30.0, , , 38.2, , , 154.9
355, GJ03-141253, J. Materials Science, 1992, v. 027  p. 6747, 61.24, 4.76, , , , , 1288000.0
356, GJ03-141254, J. Materials Science, 1992, v. 027  p. 6747, 59.81, 6.98, , , , , 9772000.0
357, GJ03-141255, J. Materials Science, 1992, v. 027  p. 6747, 58.45, 9.09, , , , , 6918000.0
358, GJ05-143977, Glass Physics & Chemistry, 1991, v. 017  p. 0425, 77.52, , , , 19.38, , 6310.0
359, GC02-144885, Saint-Gobain (FR), 1993, 03643, 69.86, 0.34, 5.99, 10.07, 12.91, 0.22, 13180.0
360, GC02-144886, Saint-Gobain (FR), 1992, 03470, 69.75, 0.37, 5.86, 10.13, 13.07, 0.19, 12020.0
361, GC02-144887, Saint-Gobain (FR), 1993, 03642, 70.71, 0.31, 5.66, 9.09, 13.4, 0.16, 11750.0
362, GC02-144888, Saint-Gobain (FR), 1992, 03544, 71.84, 0.46, 4.19, 11.58, 11.63, 0.11, 21880.0
363, GC02-144889, Saint-Gobain (FR), 1986, 02557, 71.3, 0.58, 3.53, 12.18, 12.27, 0.11, 19050.0
364, GC02-144890, Saint-Gobain (FR), 1993, 03629, 74.24, 0.85, 0.37, 12.26, 11.87, 0.1, 22910.0
365, GC02-144891, Saint-Gobain (FR), 1993, 03648, 70.76, 1.14, 4.0, 10.66, 12.72, 0.02, 19050.0
366, GC02-144892, Saint-Gobain (FR), 1993, 03588, 71.74, 1.24, 1.65, 10.98, 13.44, 0.01, 17780.0
367, GC05-144893, Saint-Gobain (FR), 1980, 02256, 73.66, 3.69, , 1.25, 8.55, 0.02, 25120.0
368, GC02-144894, Saint-Gobain (FR), 1984, 02467, 62.74, 3.94, 0.63, 5.71, 11.42, 0.05, 3548.0
369, GC03-144895, Saint-Gobain (FR), 1983, 02418, 56.41, 8.35, 0.77, 25.0, 0.5, 0.04, 53700.0
370, GC02-144898, Saint-Gobain (FR), 1988, 03222, 64.21, 2.08, 4.52, 7.92, 15.71, 0.17, 2818.0
371, GJ03-145033, Glass Technology, 1992, v. 033  p. 0049, 50.89, 10.56, 8.35, 12.11, 3.91, 0.01, 1.0E10
372, GJ03-145035, Glass Technology, 1992, v. 033  p. 0049, 53.22, 10.26, 6.35, 10.75, 5.3, 0.01, 1.0E10
373, GJ02-146368, J. Ceramic Soc. Japan, 1991, v. 099  p. 0168, 66.67, , , , 16.67, , 200.0
374, GJ02-146369, J. Ceramic Soc. Japan, 1991, v. 099  p. 0168, 66.67, , , , 20.0, , 300.0
375, GJ02-146370, J. Ceramic Soc. Japan, 1991, v. 099  p. 0168, 66.67, , , , 23.33, , 3000.0
376, GJ02-146371, J. Ceramic Soc. Japan, 1991, v. 099  p. 0168, 66.67, , , , 26.67, , 500.0
377, GJ02-146372, J. Ceramic Soc. Japan, 1991, v. 099  p. 0168, 66.67, , , , 33.33, , 1000.0
378, CJ04-147326, J. American Ceramic Soc., 1992, v. 075  p. 2071, 53.23, 5.33, , , , , *
379, CJ04-147327, J. American Ceramic Soc., 1992, v. 075  p. 2071, 53.23, 5.33, , , , , *
380, CJ04-147328, J. American Ceramic Soc., 1992, v. 075  p. 2071, 53.23, 5.33, , , , , *
381, GI06-152429R, NGF's Additional New Data (J), 2000, v. 002  p. 0001, 40.07, 14.93, , 14.86, 15.07, , 90600.0
382, GI02-152431R, NGF's Additional New Data (J), 2000, v. 002  p. 0001, 60.07, 9.89, , 10.03, 9.83, , 43500.0
383, GI02-152434R, NGF's Additional New Data (J), 2000, v. 002  p. 0003, 75.02, 3.01, , , , , 8160.0
384, GI02-152435R, NGF's Additional New Data (J), 2000, v. 002  p. 0003, 62.54, 4.36, , 11.64, 14.98, , 9820.0
385, GI05-152438R, NGF's Additional New Data (J), 2000, v. 002  p. 0003, 78.73, , , , 3.87, , 52900.0
386, GI05-152439R, NGF's Additional New Data (J), 2000, v. 002  p. 0003, 75.72, 5.12, , 1.02, 6.62, , 140000.0
387, GI06-152441R, NGF's Additional New Data (J), 2000, v. 002  p. 0003, 67.41, 6.11, 8.61, 5.69, 5.05, , 344000.0
388, GI05-152442R, NGF's Additional New Data (J), 2000, v. 002  p. 0005, 50.5, , , 9.83, 10.34, , 608.0
389, GI05-152443R, NGF's Additional New Data (J), 2000, v. 002  p. 0005, 52.45, 10.61, , , 10.42, , 1100.0
390, GI06-152444R, NGF's Additional New Data (J), 2000, v. 002  p. 0007, 63.2, 9.86, 5.17, , 10.72, , 13100.0
391, GI06-152445, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 66.02, 9.87, , , , , 113000.0
392, GI06-152446R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 65.94, 15.68, , 0.01, , , 31900.0
393, GI06-152452R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 65.08, 15.19, , , 7.81, , 313000.0
394, GI06-152454R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 65.28, 14.96, , 4.96, 7.61, , 336000.0
395, GI06-152455R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 65.0, 15.12, , , 7.54, , 241000.0
396, GI03-152456, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 64.97, 4.9, , , 5.79, , 13800.0
397, GI03-152457R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 64.5, 4.93, , , 5.97, , 23500.0
398, GI03-152458R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 63.42, 4.85, , 4.87, 6.54, , 16600.0
399, GI03-152459R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 64.14, 4.97, , 10.24, 5.81, , 19900.0
400, GI03-152460R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 63.95, 4.97, 0.1, 9.93, 6.19, , 24800.0
401, GI03-152461R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 64.22, 4.96, 0.22, 20.1, 5.62, , 39200.0
402, GI03-152462R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 64.17, 5.02, 4.57, 10.49, 5.8, , 40400.0
403, GI03-152463R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 64.45, 4.95, 4.71, , 6.06, , 37900.0
404, GI03-152465R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 56.01, 7.46, , , 4.9, , 4930.0
405, GI03-152466R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 58.71, 6.98, 2.5, 24.6, 4.93, , 98000.0
406, GI03-152467, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 58.91, 7.02, 2.24, 24.34, 0.04, , 848000.0
407, GI03-152468R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 58.57, 7.02, 2.72, 24.07, 2.62, , 180000.0
408, GI02-152471R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 57.36, 11.87, , , 11.47, , 24300.0
409, GI02-152472R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 49.9, 10.04, , 9.91, 15.14, , 9170.0
410, GI02-152473, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 50.02, 15.17, , 4.83, 15.12, , 324000.0
411, GI02-152475R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 69.99, 9.98, , , 10.23, , 183000.0
412, GJ02-153038, Glass Science and Technology, 1994, v. 067  p. 0189, 70.46, 1.15, 5.3, 9.47, 12.88, 0.17, 9506.0
413, GJ02-153039, Glass Science and Technology, 1994, v. 067  p. 0189, 72.03, 0.86, 5.72, 7.97, 12.88, 0.15, 12500.0
414, GJ02-153040, Glass Science and Technology, 1994, v. 067  p. 0189, 71.51, 0.2, 5.76, 9.11, 12.98, 0.16, 8954.0
415, GJ02-153041, Glass Science and Technology, 1994, v. 067  p. 0189, 71.63, 0.1, 5.4, 9.0, 13.36, 0.16, 8472.0
416, GJ02-161814, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 66.67, , , , 3.33, , 234.4
417, GJ02-161815, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 66.67, , , , 6.67, , 245.5
418, GJ02-161816, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 66.67, , , , 10.0, , 245.5
419, GJ02-161817, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 66.67, , , , 13.33, , 234.4
420, GJ02-161818, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 66.67, , , , 16.67, , 223.9
421, GJ02-161819, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 66.67, , , , 20.0, , 302.0
422, GJ02-161820, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 66.67, , , , 23.33, , 346.7
423, GJ02-161821, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 66.67, , , , 26.67, , 407.4
424, GJ02-161822, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 66.67, , , , 30.0, , 602.6
425, GJ02-161823, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 66.67, , , , 33.33, , 1148.0
426, GJ02-161824, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 66.67, , , , 18.0, , 141.3
427, GJ02-161825, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 66.67, , , , 16.0, , 158.5
428, GJ02-161826, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 66.67, , , , 14.0, , 166.0
429, GJ02-161827, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 66.67, , , , 12.0, , 186.2
