No., Glass No., Data Source, Year, Data Source Number, SiO2, Al2O3, MgO, CaO, Na2O, SO3, Viscocity at 1000C ( dPa.s )
430, GJ02-161828, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 66.67, , , , 10.0, , 199.5
431, GJ02-161829, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 66.67, , , , 8.0, , 263.0
432, GJ02-161830, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 66.67, , , , 6.0, , 331.1
433, GJ02-161831, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 66.45, , , , 4.32, , 389.0
434, GJ02-161832, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 66.67, , , , 2.0, , 524.8
435, GJ02-161835, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 60.0, , , , 4.0, , 123.0
436, GJ02-161836, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 60.0, , , , 8.0, , 128.8
437, GJ02-161837, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 60.0, , , , 12.0, , 93.33
438, GJ02-161838, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 60.0, , , , 16.0, , 95.5
439, GJ02-161839, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 60.0, , , , 20.0, , 114.8
440, GJ02-161840, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 60.0, , , , 24.0, , 131.8
441, GJ02-161841, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 60.0, , , , 28.0, , 166.0
442, GJ02-161842, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 60.0, , , , 32.0, , 204.2
443, GJ02-161843, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 60.0, , , , 36.0, , 263.0
444, GJ02-161844, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 60.0, , , , 40.0, , 426.6
445, GJ02-161845, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 60.0, , , , 21.6, , 154.9
446, GJ02-161846, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 60.0, , , , 19.2, , 169.8
447, GJ02-161847, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 60.0, , , , 16.8, , 186.2
448, GJ02-161848, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 60.0, , , , 14.4, , 190.5
449, GJ02-161849, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 60.0, , , , 12.0, , 195.0
450, GJ02-161850, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 60.0, , , , 9.6, , 316.2
451, GJ02-161851, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 60.0, , , , 7.2, , 398.1
452, GJ02-161852, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 60.0, , , , 4.8, , 478.6
453, GJ02-161853, J. Non-Crystalline Solids, 1995, v. 188  p. 0136, 60.0, , , , 2.4, , 891.3
454, GB02-164908, Fundamentals of Inorganic Glasses, 1994, v. 001  p. 0199, 73.82, , 2.97, , 23.21, , 5000.0
455, GB02-164909, Fundamentals of Inorganic Glasses, 1994, v. 001  p. 0199, 73.06, , 5.89, , 21.06, , 8500.0
456, GB02-164910, Fundamentals of Inorganic Glasses, 1994, v. 001  p. 0199, 72.31, , 8.74, , 18.95, , 16000.0
457, GB02-164911, Fundamentals of Inorganic Glasses, 1994, v. 001  p. 0199, 75.17, 1.2, , , 23.64, , 3500.0
458, GB02-164912, Fundamentals of Inorganic Glasses, 1994, v. 001  p. 0199, 75.75, 2.41, , , 21.83, , 5000.0
459, GB02-164913, Fundamentals of Inorganic Glasses, 1994, v. 001  p. 0199, 76.35, 3.65, , , 20.01, , 7000.0
460, GB02-164914, Fundamentals of Inorganic Glasses, 1994, v. 001  p. 0199, 76.95, 4.9, , , 18.15, , 12000.0
461, GB02-164915, Fundamentals of Inorganic Glasses, 1994, v. 001  p. 0199, 74.44, , , 2.16, 23.41, , 3000.0
462, GB02-164916, Fundamentals of Inorganic Glasses, 1994, v. 001  p. 0199, 74.29, , , 4.3, 21.41, , 3500.0
463, GB02-164917, Fundamentals of Inorganic Glasses, 1994, v. 001  p. 0199, 74.13, , , 6.44, 19.43, , 5000.0
464, GB02-164918, Fundamentals of Inorganic Glasses, 1994, v. 001  p. 0199, 73.98, , , 8.57, 17.45, , 7000.0
465, GB02-164919, Fundamentals of Inorganic Glasses, 1994, v. 001  p. 0199, 74.59, , , , 25.41, , 3000.0
466, GJ02-171686, J. Materials Science, 1997, v. 032  p. 6561, 68.3, 5.07, , , , , 63100.0
467, GJ02-171688, J. Materials Science, 1997, v. 032  p. 6561, 66.77, 16.62, , , , , 1.0E7
468, GJ02-174315, J. Ceramic Soc. Japan, 1997, v. 105  p. 0827, 75.0, , , , 25.0, , 3548.0
469, GJ02-174316, J. Ceramic Soc. Japan, 1997, v. 105  p. 0827, 70.0, 5.0, , , 25.0, , 7244.0
470, GJ02-174317, J. Ceramic Soc. Japan, 1997, v. 105  p. 0827, 67.5, 7.5, , , 25.0, , 10000.0
471, GJ02-174318, J. Ceramic Soc. Japan, 1997, v. 105  p. 0827, 65.0, 10.0, , , 25.0, , 15850.0
472, GJ02-174319, J. Ceramic Soc. Japan, 1997, v. 105  p. 0827, 75.0, , , , 18.75, , 3311.0
473, GJ02-174320, J. Ceramic Soc. Japan, 1997, v. 105  p. 0827, 70.0, 5.0, , , 18.75, , 7413.0
474, GJ02-174321, J. Ceramic Soc. Japan, 1997, v. 105  p. 0827, 67.5, 7.5, , , 18.75, , 14130.0
475, GJ02-174322, J. Ceramic Soc. Japan, 1997, v. 105  p. 0827, 65.0, 10.0, , , 18.75, , 25120.0
476, GJ02-174323, J. Ceramic Soc. Japan, 1997, v. 105  p. 0827, 75.0, , , , 12.5, , 3715.0
477, GJ02-174324, J. Ceramic Soc. Japan, 1997, v. 105  p. 0827, 70.0, 5.0, , , 12.5, , 10000.0
478, GJ02-174325, J. Ceramic Soc. Japan, 1997, v. 105  p. 0827, 67.5, 7.5, , , 12.5, , 19950.0
479, GJ02-174326, J. Ceramic Soc. Japan, 1997, v. 105  p. 0827, 65.0, 10.0, , , 12.5, , 39810.0
480, GJ02-174327, J. Ceramic Soc. Japan, 1997, v. 105  p. 0827, 75.0, , , , 6.25, , 4786.0
481, GJ02-174328, J. Ceramic Soc. Japan, 1997, v. 105  p. 0827, 70.0, 5.0, , , 6.25, , 19950.0
482, GJ02-174329, J. Ceramic Soc. Japan, 1997, v. 105  p. 0827, 67.5, 7.5, , , 6.25, , 39810.0
483, GJ02-174330, J. Ceramic Soc. Japan, 1997, v. 105  p. 0827, 65.0, 10.0, , , 6.25, , 79430.0
484, GJ02-174332, J. Ceramic Soc. Japan, 1997, v. 105  p. 0827, 70.0, 5.0, , , , , 63100.0
485, GJ02-174333, J. Ceramic Soc. Japan, 1997, v. 105  p. 0827, 67.5, 7.5, , , , , 158500.0
486, GJ02-174334, J. Ceramic Soc. Japan, 1997, v. 105  p. 0827, 65.0, 10.0, , , , , 398100.0
487, GP03-181439, Japanese Patent, 1998, A194771, 63.62, 2.51, 7.95, 9.13, 4.65, 0.17, 36980.0
488, GI06-190625R, NGF's Additional New Data (J), 2000, v. 002  p. 0001, 62.65, 9.88, 5.27, , 10.23, , 9830.0
489, GI02-190646R, NGF's Additional New Data (J), 2000, v. 002  p. 0003, 59.68, 4.37, 14.58, , 13.98, , 15400.0
490, GI02-190647R, NGF's Additional New Data (J), 2000, v. 002  p. 0003, 60.68, 4.23, , 11.25, 22.39, , 4570.0
491, GI02-190649R, NGF's Additional New Data (J), 2000, v. 002  p. 0003, 64.31, 4.82, , , 23.22, , 6290.0
492, GI02-190650R, NGF's Additional New Data (J), 2000, v. 002  p. 0003, 65.71, 4.74, , , 15.59, , 11700.0
493, GI02-190651R, NGF's Additional New Data (J), 2000, v. 002  p. 0003, 65.29, 4.64, , , 24.01, , 5820.0
494, GI02-190652R, NGF's Additional New Data (J), 2000, v. 002  p. 0003, 67.29, 4.79, , , 15.75, , 11100.0
495, GI02-190748R, NGF's Additional New Data (J), 2000, v. 002  p. 0007, 58.47, 3.96, 13.43, , 22.12, , 9820.0
496, GI05-191770R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 78.92, , , , 3.83, , 272000.0
497, GI05-191771R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 74.27, 3.18, , 1.16, 7.15, , 64400.0
498, GI05-191772R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 78.49, 1.86, , 2.24, 6.67, , 108000.0
499, GI03-191790R, NGF's Additional New Data (J), 2001, v. 004  p. 0005, 39.92, 9.9, , 50.18, , , 627000.0
500, GI03-191820R, NGF's Additional New Data (J), 2001, v. 004  p. 0007, 70.82, 3.06, , 15.06, 9.83, , 162000.0
501, GI03-191824R, NGF's Additional New Data (J), 2001, v. 004  p. 0007, 68.53, 3.24, , , 9.99, , 16900.0
502, GI05-191836, NGF's Additional New Data (J), 2001, v. 004  p. 0007, 15.85, 0.44, , 12.96, , , 29.9
503, GI02-191861, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 68.14, , , 1.03, 7.69, , 5130.0
504, GI02-191862R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 71.61, , , 1.01, 7.83, , 10000.0
505, GI02-191865R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 72.73, , 0.03, 4.49, 8.05, , 23700.0
506, GI02-191866R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 76.53, , , , 8.38, , 28800.0
507, GI02-191869R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 75.87, , 0.03, 3.54, 8.48, , 16000.0
508, GI20-191871R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 0.36, 10.01, 9.81, , 0.07, , 348.0
509, GI20-191872R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 0.37, 10.21, 0.08, 10.07, 0.09, , 196.0
510, GI20-191874R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 0.4, 9.8, , , 0.1, , 107.0
511, GI20-191875R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 0.59, 10.27, 0.09, 0.02, 0.11, , 102.0
512, GI20-191876R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 0.38, 9.74, , 0.02, 0.09, , 283.0
513, GI20-191877R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 0.4, 10.9, , , 0.1, , 258.0
514, GI20-191878R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, , 6.54, , , , , 86.5
515, GI20-191879R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 0.98, 5.56, , , 0.06, , 109.0
516, GI20-191880R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 1.56, 3.15, , 0.04, 0.04, , 73.4
517, GI20-191882R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 0.42, 10.16, , 0.05, 0.1, , 70.7
518, GI20-191884R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, 0.39, 10.36, , 0.08, 0.08, , 115.0
519, GP05-205435, Japanese Patent    Hoya Corp. (J), 2000, A236147, 14.7, 4.0, 3.4, 3.7, , , 100.0
520, GP05-205436, Japanese Patent    Hoya Corp. (J), 2000, A236147, 17.95, 2.29, , , , , 100.0
521, GP07-205437, Japanese Patent    Hoya Corp. (J), 2000, A236147, 10.7, 2.1, , , , , 100.0
522, GP07-205438, Japanese Patent    Hoya Corp. (J), 2000, A236147, 29.23, 6.11, , , , , 100.0
523, GP07-205439, Japanese Patent    Hoya Corp. (J), 2000, A236147, 34.46, 1.4, , 6.39, , , 100.0
524, GP07-205440, Japanese Patent    Hoya Corp. (J), 2000, A236147, 16.8, 2.2, , 4.6, , , 100.0
525, GP07-205441, Japanese Patent    Hoya Corp. (J), 2000, A236147, 26.83, 5.01, , 3.9, , , 100.0
526, GP07-205442, Japanese Patent    Hoya Corp. (J), 2000, A236147, 10.2, 4.5, , , , , 100.0
527, GP07-205443, Japanese Patent    Hoya Corp. (J), 2000, A236147, 15.1, 4.5, , , , , 100.0
528, GP07-205444, Japanese Patent    Hoya Corp. (J), 2000, A236147, 13.47, 4.12, , , , , 100.0
529, GI02-207386, NEDO Project Report of NGF (J), 2001, v. 001  p. 0026, 70.35, 0.93, 5.76, 9.36, 12.79, 0.15, 5284.0
530, GI02-207395, NEDO Project Report of NGF (J), 2001, v. 001  p. 0029, 72.04, 0.88, 2.96, 10.65, 13.0, , 6855.0
531, GI02-207404, NEDO Project Report of NGF (J), 2001, v. 001  p. 0027, 74.49, , , 9.91, 15.6, , 4083.0
532, GI05-207414, NEDO Project Report of NGF (J), 2001, v. 001  p. 0028, 82.76, 1.4, , , 4.19, , 107400.0
533, GI05-207420, NEDO Project Report of NGF (J), 2001, v. 001  p. 0027, *, *, , , *, , 14930.0
534, GI06-207428, NEDO Project Report of NGF (J), 2001, v. 001  p. 0029, 62.35, 9.57, 14.1, 1.38, 1.25, , 206100.0
535, GI03-207430, NEDO Project Report of NGF (J), 2001, v. 001  p. 0028, 72.69, 2.14, , , 9.39, , 8279.0
536, GJ03-207888, Physics and Chemistry of  Glasses, 2001, v. 042  p. 0061, 54.97, 14.74, 3.29, 18.63, 0.3, , 125900.0
537, GJ05-207889, Physics and Chemistry of  Glasses, 2001, v. 042  p. 0061, 82.78, 1.58, , 1.0, 3.8, , 1000000.0
538, GJ02-207890, Physics and Chemistry of  Glasses, 2001, v. 042  p. 0061, 72.43, 2.52, 0.91, 9.05, 12.58, , 15850.0
539, GJ05-207891, Physics and Chemistry of  Glasses, 2001, v. 042  p. 0061, 59.5, , , , 16.7, , 631.0
540, GJ03-208243, J. Materials Science, 2001, v. 036  p. 0123, 55.0, 22.0, 23.0, , , , 4.677E12
541, GJ03-208246, J. Materials Science, 2001, v. 036  p. 0123, 54.0, 23.0, 23.0, , , , 3.388E12
542, GJ03-208250, J. Materials Science, 2001, v. 036  p. 0123, 58.0, 21.0, 21.0, , , , 6.026E12
543, GI02-218851, Proc. ICG, 1999, v. B04  p. 0010, 74.14, , , , 24.93, , 2512.0
544, GI02-218852, Proc. ICG, 1999, v. B04  p. 0010, 72.95, , , , 24.32, , 1585.0
545, GI02-218853, Proc. ICG, 1999, v. B04  p. 0010, 69.66, , , , 25.11, , 1000.0
546, GI02-218854, Proc. ICG, 1999, v. B04  p. 0010, 69.04, , , , 23.73, , 1000.0
547, GI02-218855, Proc. ICG, 1999, v. B04  p. 0010, 64.43, , , , 25.76, , 631.0
548, GI05-219022, Proc. ICG, 1999, v. C02  p. 0008, 60.0, , , , 16.0, , 316.2
549, GJ05-220001, J. Non-Crystalline Solids, 2002, v. 306  p. 0058, 82.89, 1.5, , 1.0, 3.7, , 398100.0
550, GJ05-220002, J. Non-Crystalline Solids, 2002, v. 306  p. 0058, 50.0, , , , 20.0, , 63.1
551, GJ05-220003, J. Non-Crystalline Solids, 2002, v. 306  p. 0058, 60.0, , , , 16.0, , 398.1
552, FJ02-240845, Geochim. Cosmochim. Acta, 1988, v. 052  p. 0395, 76.51, , , , 21.41, , 204.174
553, FJ02-240846, Geochim. Cosmochim. Acta, 1988, v. 052  p. 0395, 70.74, , , , 25.09, , 95.4993
554, FJ02-240847, Geochim. Cosmochim. Acta, 1988, v. 052  p. 0395, 63.09, , , , 28.76, , 29.5121
555, FJ02-240848, Geochim. Cosmochim. Acta, 1988, v. 052  p. 0395, 54.64, , , , 32.65, , 10.4713
556, FJ02-240849, Geochim. Cosmochim. Acta, 1988, v. 052  p. 0395, 47.18, , , , 36.23, , 4.67735
557, FJ02-240850, Geochim. Cosmochim. Acta, 1988, v. 052  p. 0395, 38.14, , , , 41.42, , 2.34423
558, FJ02-240851, Geochim. Cosmochim. Acta, 1988, v. 052  p. 0395, 87.1, , , , 6.41, , 21379.6
559, FJ02-240852, Geochim. Cosmochim. Acta, 1988, v. 052  p. 0395, 74.49, , , , 12.82, , 831.764
560, FJ02-240853, Geochim. Cosmochim. Acta, 1988, v. 052  p. 0395, 64.87, , , , 17.7, , 87.0964
561, GJ20-243636, J. Chemical Physics, 2003, v. 119  p. 4372, , , , , *, , 1.259
562, GJ02-245039, J. Soc. Materials Science Japan (J), 1966, v. 015  p. 0567, 73.06, , , 12.88, 8.74, , 10000.0
563, GJ04-245067, J. Res. National Bureau of Standards, 1951, v. 046  p. 0176, 76.29, , , , 0.56, , 10000.0
564, GJ04-245069, J. Res. National Bureau of Standards, 1951, v. 046  p. 0176, 69.31, , , , 6.92, , 1153.45
565, GJ04-245071, J. Res. National Bureau of Standards, 1951, v. 046  p. 0176, 70.73, , , , 4.51, , 1967.89
566, GJ04-245073, J. Res. National Bureau of Standards, 1951, v. 046  p. 0176, 68.75, , , , 1.13, , 1766.04
567, GJ04-245079, J. Res. National Bureau of Standards, 1951, v. 046  p. 0176, 74.64, , , , 14.6, , 4178.3
568, GJ03-245080, J. Res. National Bureau of Standards, 1951, v. 046  p. 0176, 71.45, , , , 3.3, , 10303.9
569, GJ03-245081, J. Res. National Bureau of Standards, 1951, v. 046  p. 0176, 60.02, 2.35, , , 1.8, , 5296.63
570, GJ03-245082, J. Res. National Bureau of Standards, 1951, v. 046  p. 0176, 62.91, 1.17, , , 1.16, , 7144.96
571, GJ03-245084, J. Res. National Bureau of Standards, 1951, v. 046  p. 0176, 53.89, 2.41, , 6.79, , , 7144.96
572, GJ03-245085, J. Res. National Bureau of Standards, 1951, v. 046  p. 0176, 55.03, 4.16, , 3.55, , , 5482.77
573, GJ03-245086, J. Res. National Bureau of Standards, 1951, v. 046  p. 0176, 55.88, 4.33, , , 0.29, , 5597.58
574, GJ03-245087, J. Res. National Bureau of Standards, 1951, v. 046  p. 0176, 50.69, , , 5.17, , , 1402.81
575, GJ04-245088, J. Res. National Bureau of Standards, 1951, v. 046  p. 0176, 68.41, , , , 2.13, , 9817.48
576, GJ02-245091, J. Res. National Bureau of Standards, 1951, v. 046  p. 0176, 74.69, , , 2.45, 14.81, , 3749.73
577, GJ02-245092, J. Res. National Bureau of Standards, 1951, v. 046  p. 0176, 71.25, , , 10.22, 13.77, 0.38, 5861.38
578, GJ02-245096, J. Res. National Bureau of Standards, 1951, v. 046  p. 0176, 73.86, , , , 8.12, , 3899.42
579, GJ02-245097, J. Res. National Bureau of Standards, 1951, v. 046  p. 0176, 71.26, , , , 7.81, , 3953.67
580, GJ02-245098, J. Res. National Bureau of Standards, 1951, v. 046  p. 0176, 71.26, , , , 7.81, , 4083.19
581, GJ02-245101, J. Res. National Bureau of Standards, 1951, v. 046  p. 0176, 73.88, 0.13, , , 9.55, , 5023.43
582, GB02-245371, High Temp. Glass Melt Property Database, 2005, v. 001  p. 0029, 70.56, 1.87, 4.12, 7.91, 13.25, 0.007433, 3534.4
583, GB02-245400, High Temp. Glass Melt Property Database, 2005, v. 001  p. 0033, 68.79, 0.06, 5.9, 9.53, 14.38, , 7144.2
584, GB02-245403, High Temp. Glass Melt Property Database, 2005, v. 001  p. 0033, 67.62, 1.18, 5.96, 9.63, 14.52, , 7473.3
585, GB02-245481, High Temp. Glass Melt Property Database, 2005, v. 001  p. 0039, 68.33, , 1.52, 5.93, 18.32, 0.17, 2195.6
586, GB02-245485, High Temp. Glass Melt Property Database, 2005, v. 001  p. 0039, 63.16, 3.81, 6.9, 5.76, 17.58, 0.16, 6841.3
587, GB02-245489, High Temp. Glass Melt Property Database, 2005, v. 001  p. 0039, 68.19, , 1.59, 5.96, 14.34, , 4825.9
588, GB02-245491, High Temp. Glass Melt Property Database, 2005, v. 001  p. 0039, 57.3, 3.66, 1.54, 12.19, 17.05, , 967.5
589, GB02-245492, High Temp. Glass Melt Property Database, 2005, v. 001  p. 0039, 49.0, 3.57, 7.52, 11.88, 16.62, 0.15, 176.5
590, FJ10-245654, J. American Ceramic Soc., 1994, v. 077  p. 1032, , , , , 37.18, , 3.86
591, FJ10-245655, J. American Ceramic Soc., 1994, v. 077  p. 1032, , , , , 40.73, , 3.8
592, FJ10-245656, J. American Ceramic Soc., 1994, v. 077  p. 1032, , , , , 43.87, , 3.55
593, FJ10-245657, J. American Ceramic Soc., 1994, v. 077  p. 1032, , , , , 46.7, , 3.41
594, FJ10-245658, J. American Ceramic Soc., 1994, v. 077  p. 1032, , , , , 49.25, , 3.32
595, FJ10-245659, J. American Ceramic Soc., 1994, v. 077  p. 1032, , , , 10.52, 44.04, , 37.47
596, FJ10-245660, J. American Ceramic Soc., 1994, v. 077  p. 1032, , , , 26.08, 36.36, , 43.14
597, FJ10-245661, J. American Ceramic Soc., 1994, v. 077  p. 1032, , , , 36.96, 31.03, , 52.27
598, FJ10-245662, J. American Ceramic Soc., 1994, v. 077  p. 1032, , , , 35.53, 29.82, , 7.04
599, FJ10-245663, J. American Ceramic Soc., 1994, v. 077  p. 1032, , , , 34.26, 28.75, , 6.03
600, FJ10-245664, J. American Ceramic Soc., 1994, v. 077  p. 1032, , , , 32.95, 27.75, , 5.76
601, GJ20-251764, J. Non-Crystalline Solids, 2003, v. 331  p. 0020, 0.18, 3.66, , , 40.87, 1.78, 18.0
602, GJ20-251765, J. Non-Crystalline Solids, 2003, v. 331  p. 0020, 0.18, 14.11, , , 38.24, 1.98, 31.0
603, GJ20-251766, J. Non-Crystalline Solids, 2003, v. 331  p. 0020, 0.18, 3.24, , , 40.0, 2.06, 25.0
604, GJ05-252174, Physics and Chemistry of  Glasses, 2003, v. 044  p. 0409, 60.0, , , , 16.0, , 316.2
605, GB02-254558, Str. Dynam. and Prop. of Silicate Melts, 1995, v. 032  p. 0056, 75.0, 12.5, , , 12.5, , 39810.0
606, GB02-254559, Str. Dynam. and Prop. of Silicate Melts, 1995, v. 032  p. 0056, 75.0, 12.5, , , , , 63100.0
607, GB02-254560, Str. Dynam. and Prop. of Silicate Melts, 1995, v. 032  p. 0056, 75.0, 12.5, , , 6.25, , 50120.0
608, GB02-254565, Str. Dynam. and Prop. of Silicate Melts, 1995, v. 032  p. 0067, 40.0, , , , 40.0, , 100.0
609, GB02-254566, Str. Dynam. and Prop. of Silicate Melts, 1995, v. 032  p. 0067, 66.67, , , , 33.33, , 1995.0
610, GB02-254567, Str. Dynam. and Prop. of Silicate Melts, 1995, v. 032  p. 0067, 75.0, , , , 25.0, , 6310.0
611, GI02-263429, Proc. ICG, 1989, v. 01a  p. 0162, 66.67, , , , 3.33, , 281.8
612, GI02-263430, Proc. ICG, 1989, v. 01a  p. 0162, 66.66, , , , 6.67, , 251.2
613, GI02-263431, Proc. ICG, 1989, v. 01a  p. 0162, 66.67, , , , 10.0, , 251.2
614, GI02-263432, Proc. ICG, 1989, v. 01a  p. 0162, 66.67, , , , 13.33, , 223.9
615, GI02-263433, Proc. ICG, 1989, v. 01a  p. 0162, 66.66, , , , 16.67, , 223.9
616, GI02-263434, Proc. ICG, 1989, v. 01a  p. 0162, 66.67, , , , 20.0, , 281.8
617, GI02-263435, Proc. ICG, 1989, v. 01a  p. 0162, 66.67, , , , 23.33, , 354.8
618, GI02-263436, Proc. ICG, 1989, v. 01a  p. 0162, 66.66, , , , 26.67, , 398.1
619, GI02-263437, Proc. ICG, 1989, v. 01a  p. 0162, 66.67, , , , 30.0, , 562.3
620, GI02-263438, Proc. ICG, 1989, v. 01a  p. 0162, 66.67, , , , 33.33, , 1122.0
621, FJ10-271133, J. American Ceramic Soc., 1994, v. 077  p. 1032, , , , , 6.52, , 3.86
622, FJ10-271134, J. American Ceramic Soc., 1994, v. 077  p. 1032, , , , , 12.96, , 3.8
623, FJ10-271135, J. American Ceramic Soc., 1994, v. 077  p. 1032, , , , , 19.3, , 3.55
624, FJ10-271136, J. American Ceramic Soc., 1994, v. 077  p. 1032, , , , , 25.55, , 3.41
625, FJ10-271137, J. American Ceramic Soc., 1994, v. 077  p. 1032, , , , , 31.71, , 3.32
626, FJ10-271138, J. American Ceramic Soc., 1994, v. 077  p. 1032, , , , , 49.3, , 3.32
627, FJ10-271139, J. American Ceramic Soc., 1994, v. 077  p. 1032, , , , 10.52, 44.04, , 37.47
628, FJ10-271140, J. American Ceramic Soc., 1994, v. 077  p. 1032, , , , 26.08, 36.36, , 44.14
629, FJ10-271141, J. American Ceramic Soc., 1994, v. 077  p. 1032, , , , 36.96, 31.03, , 52.27
630, FJ10-271142, J. American Ceramic Soc., 1994, v. 077  p. 1032, , , , 35.53, 29.82, , 7.04
631, FJ10-271143, J. American Ceramic Soc., 1994, v. 077  p. 1032, , , , 34.26, 28.75, , 6.3
632, FJ10-271144, J. American Ceramic Soc., 1994, v. 077  p. 1032, , , , 32.95, 27.75, , 5.76
633, GP05-271943, Japanese Patent    Hoya Corp. (J), 2006, A096610, 13.0, , , 10.0, , , 7.0
634, GP05-271944, Japanese Patent    Hoya Corp. (J), 2006, A096610, 12.0, , , 12.0, , , 6.0
635, GP05-271945, Japanese Patent    Hoya Corp. (J), 2006, A096610, 8.0, , , 11.0, , , 3.0
